"","Brand","Year","Price","Odometer","Fuel","Seller_Type","Transmission","Owner"
"70","Chevrolet",2010,280000,350000,"Diesel","Individual","Manual","Second Owner"
"71","Toyota",2011,350000,230000,"Diesel","Individual","Manual","First Owner"
"72","Mahindra",2017,570000,60000,"Diesel","Individual","Manual","First Owner"
"73","Hyundai",2018,300000,31000,"Petrol","Individual","Manual",NA
"74","Tata",2007,100000,39000,"Diesel","Individual","Manual","First Owner"
"75","Toyota",2009,500000,120000,"Diesel","Individual","Manual","Third Owner"
"76",NA,2014,125000,166000,"Diesel","Individual","Manual","Fourth & Above Owner"
"77","Maruti",2006,130000,110000,"Petrol","Individual","Manual","Third Owner"
"78","Ford",2017,925000,35000,"Diesel","Individual","Manual","First Owner"
"79",NA,2018,750000,60000,"Diesel","Individual","Manual","First Owner"
"80","Honda",2007,200000,54000,"Petrol","Individual","Automatic","Second Owner"
"81","Hyundai",2010,248000,63000,"Petrol","Individual","Manual","Second Owner"
"82","Skoda",2014,450000,NA,"Diesel","Individual","Manual","Second Owner"
"83","Hyundai",2005,80000,120000,"Petrol","Individual","Manual","Third Owner"
"84","Nissan",2014,650000,76000,"Petrol","Individual","Manual","Second Owner"
"85","Hyundai",2015,450000,80000,"Diesel","Individual","Manual","First Owner"
"86","Hyundai",2019,650000,25000,"Diesel","Individual","Manual","First Owner"
"87","Honda",2016,495000,11958,"Petrol","Dealer","Manual","First Owner"
"88","Honda",2015,371000,20000,"Petrol","Dealer","Manual","First Owner"
"89","Hyundai",2017,1025000,9000,"Petrol","Dealer","Manual","First Owner"
"90","Mercedes-Benz",2017,8150000,6500,"Diesel","Dealer","Automatic","First Owner"
"91","Mahindra",2015,750000,70000,"Diesel","Individual","Manual","First Owner"
"92","Renault",2013,600000,120000,"Diesel","Individual","Manual","First Owner"
"93","Hyundai",2007,80000,58000,"Petrol","Dealer","Manual","Second Owner"
"94","Mahindra",2013,325000,62200,"Diesel","Dealer","Manual","First Owner"
"95","Audi",2014,1470000,34000,"Diesel","Dealer","Automatic","Second Owner"
"96","Fiat",2015,350000,53000,"Diesel","Individual","Manual","Second Owner"
"97","Audi",2013,2800000,49000,"Diesel","Dealer","Automatic","First Owner"
"98","Datsun",2017,210000,15000,"Petrol","Dealer","Manual","Second Owner"
"99","Volkswagen",2013,450000,50000,"Petrol","Individual","Manual","First Owner"
"100","Audi",2013,1150000,53000,"Diesel","Dealer","Automatic","First Owner"
"101","Honda",2009,210000,63500,"Petrol","Dealer","Automatic","First Owner"
"102","Mercedes-Benz",2018,4500000,9800,"Petrol","Dealer","Automatic","First Owner"
"103","BMW",2017,2750000,13000,"Diesel","Individual","Automatic","First Owner"
"104","Volvo",2018,1975000,21000,"Diesel","Dealer","Automatic","First Owner"
"105","Maruti",2008,175000,29173,"Petrol","Dealer","Manual","First Owner"
"106","BMW",2012,2500000,48000,"Diesel","Dealer","Automatic","First Owner"
"107","Mahindra",2017,628000,120000,"Diesel","Individual","Manual","First Owner"
"108","Hyundai",2010,600000,100000,"Diesel","Individual","Manual","First Owner"
"109","Nissan",2017,399000,30000,"Petrol","Individual","Manual","First Owner"
"110","Mahindra",2018,750000,87000,"Diesel","Individual","Manual","First Owner"
"111","Hyundai",2019,750000,15000,"Petrol","Individual","Manual","First Owner"
"112","Renault",2017,315000,16000,"Petrol",NA,"Manual","First Owner"
"113","Mahindra",2012,600000,60000,"Diesel","Individual","Manual","First Owner"
"114","Maruti",2010,100000,60000,"Petrol","Individual","Manual","Fourth & Above Owner"
"115","Maruti",2011,250000,110000,"Petrol","Individual","Manual","Third Owner"
"116","Renault",2017,350000,25000,"Petrol","Individual","Manual","First Owner"
"117","Hyundai",2016,780000,60000,"Diesel","Individual","Manual","First Owner"
"118","Maruti",2014,434000,79350,"Diesel","Individual","Manual","Second Owner"
"119","Hyundai",2016,690000,80000,"Petrol","Individual","Automatic","First Owner"
"120","Mahindra",2014,555000,90000,"Diesel","Individual","Manual","Second Owner"
"121","Maruti",2007,120000,90000,"Petrol","Individual","Manual","Second Owner"
"122","Maruti",2014,500000,120000,"Diesel","Individual","Manual","Second Owner"
"123","Chevrolet",2013,165000,60000,"Diesel","Individual","Manual","Second Owner"
"124","Maruti",2004,95000,50000,"Petrol","Individual","Manual","First Owner"
"125","Maruti",2018,550000,20000,"Petrol","Individual","Manual","First Owner"
"126","Maruti",2007,100000,110000,"Diesel","Individual","Manual","Fourth & Above Owner"
"127","Tata",2012,100000,50000,"Petrol","Individual","Manual","Second Owner"
"128","Toyota",2012,500000,100000,"Diesel","Individual","Manual","First Owner"
"129","Maruti",2016,800000,70000,"Diesel","Individual","Manual","Second Owner"
"130","Hyundai",2016,840000,70000,"Diesel","Individual","Manual","Second Owner"
"131","Honda",2016,490000,50000,"Petrol","Individual","Manual","First Owner"
"132","Tata",2010,125000,81000,"Diesel","Individual","Manual","Second Owner"
"133","Chevrolet",2012,400000,120000,"Diesel","Individual","Manual","Third Owner"
"134","Chevrolet",2015,1000000,3600,"Diesel","Dealer","Manual","First Owner"
"135","Ford",2015,530000,14272,"Petrol","Dealer","Manual","First Owner"
"136","Ford",2017,840000,49213,"Diesel","Dealer","Manual","First Owner"
"137","Hyundai",2015,229999,NA,"Petrol","Individual","Manual","First Owner"
"138","Maruti",1998,40000,40000,"Petrol","Individual","Manual","Fourth & Above Owner"
"139","Chevrolet",2012,130000,80000,"Petrol","Individual","Manual","First Owner"
"140","Hyundai",2015,200000,70000,"Petrol","Individual","Manual","First Owner"
"141","Tata",2011,120000,70000,"Diesel","Individual","Manual","First Owner"
"142","Hyundai",2003,75000,57000,"Petrol","Individual","Manual","First Owner"
"143","Tata",2016,250000,120000,"Diesel","Individual","Manual","First Owner"
"144","Maruti",2005,100000,30000,"Petrol","Individual","Manual","First Owner"
"145","Hyundai",2013,280000,3240,"Petrol","Individual","Manual","Second Owner"
"146","Hyundai",2015,540000,5000,"Petrol","Individual","Manual","First Owner"
"147","Hyundai",2018,700000,10000,"Petrol","Individual","Manual","First Owner"
"148","Maruti",2015,525000,100000,"Diesel","Individual","Manual","First Owner"
"149","Hyundai",2016,430000,80000,"Diesel","Individual","Manual","First Owner"
"150","Hyundai",2002,65000,70000,"Petrol","Individual","Manual","First Owner"
"151","Maruti",2018,800000,35000,"Diesel","Individual","Manual","First Owner"
"152","Hyundai",2007,75000,114000,"Petrol","Individual","Manual","Second Owner"
"153","Hyundai",2008,210000,53772,"Petrol","Individual","Manual","First Owner"
"154","Mahindra",2012,195000,140000,"Diesel","Individual","Manual","Second Owner"
"155","Chevrolet",2015,400000,120000,"Diesel","Individual","Manual","First Owner"
"156","Hyundai",2012,170000,60000,"Petrol","Individual","Manual","First Owner"
"157","Renault",2016,225000,25000,"Petrol","Individual","Manual","First Owner"
"158","Maruti",2014,210000,90000,"LPG","Individual","Manual",NA
"159","Maruti",2020,240000,NA,"Petrol","Individual","Manual","First Owner"
"160","Chevrolet",2015,300000,175000,"Diesel","Individual","Manual","First Owner"
"161","Chevrolet",2011,99000,100000,"Petrol","Individual","Manual",NA
"162","Honda",2014,620000,36000,"Petrol","Individual","Manual","First Owner"
"163","Honda",2013,500000,30000,"Diesel","Individual","Manual","First Owner"
"164","Jaguar",2010,2550000,40000,"Petrol","Individual","Automatic","Second Owner"
"165","Honda",2013,260000,70000,"Petrol","Individual","Manual","Second Owner"
"166","Maruti",2017,550000,60000,"Petrol","Individual","Manual","First Owner"
"167","Tata",2011,150000,155500,"Diesel","Individual","Manual","First Owner"
"168","Hyundai",2011,NA,50000,"Petrol","Individual","Automatic","Second Owner"
"169","Chevrolet",2016,320000,40000,"Petrol","Individual","Manual","First Owner"
"170","Maruti",2015,400000,100000,"Diesel","Individual","Manual","Third Owner"
"171","Maruti",2012,175000,80000,"Petrol","Individual","Manual","Third Owner"
"172","Chevrolet",2011,120000,90000,"Petrol","Individual","Manual","Second Owner"
"173","Renault",2013,320000,90000,NA,"Individual","Manual","Second Owner"
"174","Hyundai",2006,70000,110000,"Petrol","Individual","Manual","Third Owner"
"175","Maruti",2019,810000,15000,"Petrol","Individual","Manual","First Owner"
"176","Maruti",2007,95000,100000,"Petrol","Individual","Manual","Second Owner"
"177","Maruti",2020,282000,40000,"CNG","Individual","Manual","First Owner"
"178","Maruti",NA,80000,60000,"Petrol","Individual","Manual","Second Owner"
"179","Tata",2013,72000,25000,"Petrol","Individual","Manual","First Owner"
"180","Hyundai",2016,600000,25000,"Petrol","Individual","Manual","First Owner"
"181","Skoda",2015,640000,23000,"Petrol","Individual","Manual","First Owner"
"182","Maruti",2018,380000,22155,"Petrol","Individual","Manual","First Owner"
"183","Maruti",2018,650000,70000,"Petrol","Individual","Manual","First Owner"
"184","Maruti",2009,150000,60000,"Petrol","Individual","Manual","Second Owner"
"185","Hyundai",2009,280000,110000,"Petrol","Individual","Manual","Second Owner"
"186","Tata",2018,430000,30000,"Petrol","Individual",NA,"First Owner"
"187","Mahindra",2019,800000,15000,"Diesel","Individual","Manual","First Owner"
"188","Maruti",2003,75000,100000,"Diesel","Individual","Manual","Second Owner"
"189","Volkswagen",2016,650000,70000,"Diesel","Individual","Automatic","First Owner"
"190","Maruti",2017,390000,24000,"Petrol","Individual","Manual","First Owner"
"191","Honda",2005,100000,120000,"Petrol","Individual","Manual",NA
"192","Mercedes-Benz",2013,1500000,35000,"Diesel","Individual","Automatic","First Owner"
"193","Maruti",2007,175000,78380,"Petrol","Individual","Manual","First Owner"
"194","Renault",2012,434999,110000,"Diesel","Individual","Manual","Second Owner"
"195","Ford",2010,170000,90000,"Diesel","Individual","Manual",NA
"196","Ford",2011,190000,90000,"Diesel","Individual","Manual","Third Owner"
"197","Maruti",2009,250000,150000,"Diesel","Individual","Manual","Third Owner"
"198","Mahindra",2009,229999,230000,"Diesel","Individual","Manual","Third Owner"
"199","Maruti",2006,140000,70000,"Petrol","Individual","Manual","Third Owner"
"200","Maruti",2017,600000,80362,"Diesel","Individual","Manual","First Owner"
"201","Hyundai",2012,280000,110000,"Petrol","Individual","Manual","Third Owner"
"202","Chevrolet",2012,150000,60000,"Diesel","Individual","Manual","First Owner"
"203","Chevrolet",2015,650000,50000,"Diesel","Individual","Automatic","First Owner"
"204","Nissan",2014,210000,40000,"Petrol","Individual","Manual","Second Owner"
"205","BMW",2017,2900000,40000,"Diesel","Individual","Automatic","First Owner"
"206","Chevrolet",2013,425000,20000,"Diesel","Dealer","Manual","First Owner"
"207","Hyundai",2014,265000,55000,"Petrol","Dealer","Manual","First Owner"
"208","Fiat",2018,890000,1136,"Petrol","Dealer","Manual","First Owner"
"209","Renault",2013,365000,55000,"Petrol","Dealer","Manual","First Owner"
"210","Ford",2014,350000,43000,"Petrol","Dealer","Manual","First Owner"
"211","Maruti",2016,685000,60000,"Diesel","Individual","Manual","First Owner"
"212","Skoda",2018,940000,2650,"Diesel","Dealer","Manual","First Owner"
"213","Mahindra",2017,1000000,40000,"Diesel","Individual","Manual","First Owner"
"214","Mahindra",2019,1150000,15000,"Petrol","Dealer","Manual","First Owner"
"215","Maruti",2016,450000,115962,"Diesel","Individual","Manual","Second Owner"
"216","Nissan",2015,590000,65000,"Diesel","Dealer","Manual","First Owner"
"217","Maruti",2017,800000,40000,"Diesel","Individual","Manual","First Owner"
"218","Hyundai",2012,385000,NA,"Diesel","Dealer","Manual","First Owner"
"219","Mercedes-Benz",2013,2000000,15000,"Diesel","Individual","Automatic","First Owner"
"220","Hyundai",2012,235000,54000,"Petrol","Dealer","Manual","First Owner"
"221","Volkswagen",2017,640000,56000,"Diesel","Dealer","Manual","First Owner"
"222","Maruti",2006,52000,120000,"Petrol","Individual","Manual","Third Owner"
"223","Maruti",2009,80000,90000,"LPG","Individual","Manual","Second Owner"
"224","Maruti",2012,140000,70000,"Petrol","Individual","Manual","Second Owner"
"225","Hyundai",2008,NA,90000,"Petrol","Individual","Manual","Second Owner"
"226","Mahindra",2008,89999,213000,"Diesel","Individual","Manual","First Owner"
"227","Chevrolet",2012,180000,120000,"Diesel","Individual","Manual","First Owner"
"228","Mahindra",2017,1500000,20000,"Diesel","Individual","Manual","First Owner"
"229","Hyundai",2017,700000,10000,"Petrol","Individual","Manual","First Owner"
"230","Maruti",2012,285000,80000,"Diesel","Individual","Manual","Second Owner"
"231","Hyundai",2015,390000,90000,"Petrol","Individual","Manual","First Owner"
"232","Maruti",2008,125000,80000,"Petrol","Individual","Manual","First Owner"
"233","Maruti",2008,225000,60000,"Petrol","Individual","Manual","Second Owner"
"234","Hyundai",2011,175000,139000,"Petrol","Individual","Manual","Second Owner"
"235","Toyota",2011,1075000,160000,"Diesel","Individual","Manual","Second Owner"
"236","Honda",2014,300000,150000,"Diesel","Individual","Manual","First Owner"
"237","Toyota",2010,700000,163000,"Diesel","Individual","Manual","Fourth & Above Owner"
"238","Tata",2009,90000,120000,"Diesel","Dealer","Manual","First Owner"
"239","Tata",2011,120000,120000,"Diesel","Individual","Manual","Second Owner"
"240","Chevrolet",2012,220000,100000,"Diesel","Individual","Manual","Second Owner"
"241","Tata",2015,300000,140000,"Diesel","Dealer","Manual","First Owner"
"242",NA,2010,180000,87000,"Diesel","Dealer","Manual","Second Owner"
"243","Maruti",2013,170000,70000,"Petrol","Individual","Manual","First Owner"
"244","Ford",2015,300000,50000,"Petrol","Individual","Manual","Second Owner"
"245","Toyota",2014,1050000,70000,"Diesel","Individual","Manual","First Owner"
"246","Honda",2014,300000,150000,"Diesel","Individual","Manual","First Owner"
"247","Hyundai",2018,465000,25000,"Diesel","Individual","Manual","First Owner"
"248","Chevrolet",2011,130000,80000,"Diesel","Individual","Manual","Second Owner"
"249","Datsun",2018,434999,10000,"Petrol","Individual","Manual","First Owner"
"250","Hyundai",2018,500000,32000,"Petrol","Individual","Manual","First Owner"
"251","Maruti",2018,200000,10000,"Petrol","Individual","Manual","First Owner"
"252","Maruti",2017,625000,52000,"Petrol","Dealer","Manual","First Owner"
"253","Ford",2006,110000,120000,"Diesel","Individual","Manual","Third Owner"
"254","Hyundai",2019,800000,11240,"Petrol","Individual","Manual","First Owner"
"255","Hyundai",2017,490000,66000,"Diesel","Dealer","Manual","First Owner"
"256","Maruti",2017,880000,64000,"Diesel","Dealer","Manual","First Owner"
"257","Hyundai",2013,290000,49000,"Petrol","Individual","Manual","First Owner"
"258","Tata",2006,115999,100000,"Diesel","Individual","Manual","Second Owner"
"259","Renault",2018,360000,26500,"Petrol","Individual","Manual","First Owner"
"260","Maruti",2002,65000,100000,"Petrol","Individual","Manual","Second Owner"
"261","Maruti",2017,685000,72000,"Diesel","Dealer","Manual","First Owner"
"262","Honda",2009,300000,50000,"Petrol","Individual","Manual","First Owner"
"263","Hyundai",2017,680000,44000,"Diesel","Dealer","Manual","First Owner"
"264","Maruti",2017,1000000,60000,"Diesel","Individual","Manual","Second Owner"
"265","Tata",2002,100000,120000,"Diesel","Individual","Manual","First Owner"
"266","Mahindra",2010,NA,130000,"Diesel","Individual","Manual","First Owner"
"267","Maruti",2017,450000,70000,"Diesel","Individual","Manual","First Owner"
"268","Maruti",2014,600000,20000,"Petrol","Individual","Manual","First Owner"
"269","Hyundai",2009,180000,60000,"Diesel","Individual","Manual","Second Owner"
"270","Maruti",2007,100000,195000,"Petrol","Individual","Manual","First Owner"
"271","Maruti",2010,120000,90000,"Petrol","Individual","Manual","Second Owner"
"272","Hyundai",2006,130000,80000,"Petrol","Individual","Manual","Third Owner"
"273","Maruti",2011,160000,155000,"Petrol","Individual","Manual","First Owner"
"274","Mahindra",2019,860000,35000,"Diesel","Individual","Manual","First Owner"
"275","Hyundai",2018,650000,20000,"Petrol","Individual","Manual","Second Owner"
"276","Maruti",2010,100000,80000,"Petrol","Individual","Manual","Second Owner"
"277","Maruti",2017,282000,20000,"Petrol","Individual","Manual","First Owner"
"278","Hyundai",2009,300000,50000,"Petrol","Individual","Manual","First Owner"
"279","Hyundai",2010,270000,110000,"Petrol","Individual","Manual","Second Owner"
"280","Hyundai",NA,550000,29000,"Diesel","Individual","Manual","First Owner"
"281","Mahindra",2013,450000,120000,"Diesel","Individual","Manual","First Owner"
"282","Mahindra",2011,430000,70000,"Diesel","Individual","Manual","Second Owner"
"283","Maruti",2013,350000,40000,"Petrol","Individual","Manual","First Owner"
"284","Honda",2017,350000,20000,"Petrol","Individual","Manual","First Owner"
"285","Toyota",2013,229999,50000,"Petrol","Individual","Manual","Second Owner"
"286","Maruti",2013,110000,50000,"Petrol","Individual","Manual","First Owner"
"287","Maruti",2012,395000,49000,"Petrol","Individual","Manual","Second Owner"
"288","Mahindra",2011,650000,70000,"Diesel","Individual","Automatic","Second Owner"
"289","Mahindra",2011,350000,90000,"Diesel","Individual","Manual","Second Owner"
"290","Mahindra",2020,1400000,25000,"Diesel","Dealer","Manual","First Owner"
"291","Tata",2018,360000,4000,"Petrol","Individual","Manual","First Owner"
"292","Mahindra",2018,1300000,10000,"Diesel","Individual","Manual","First Owner"
"293","Renault",2015,800000,15000,"Diesel","Individual","Manual","First Owner"
"294","Hyundai",2018,229999,30000,"Petrol","Individual",NA,"First Owner"
"295","Maruti",2014,315000,41000,"Petrol","Dealer","Manual","First Owner"
"296","Chevrolet",2012,125000,28000,NA,"Individual","Manual","First Owner"
"297","Maruti",2019,700000,16000,"Petrol","Individual","Manual","First Owner"
"298","Hyundai",2015,160000,70000,"Petrol","Individual","Manual","First Owner"
"299","Ford",2017,530000,10832,"Petrol","Dealer","Manual","First Owner"
"300","Ford",2018,624000,14681,"Diesel","Dealer","Manual","First Owner"
"301","Hyundai",2009,250000,50000,"Petrol","Individual","Manual","First Owner"
"302","Mahindra",2016,585000,51000,"Diesel","Dealer","Manual","First Owner"
"303","Hyundai",2015,NA,25000,"Petrol","Individual","Manual","First Owner"
"304","Chevrolet",2014,350000,30000,"Petrol","Individual","Manual","First Owner"
"305","Honda",2014,495000,80000,"Diesel","Dealer","Manual","First Owner"
"306","Hyundai",2017,NA,50000,"Petrol","Individual","Manual","First Owner"
"307","Mahindra",2015,430000,200000,"Diesel","Individual","Manual","First Owner"
"308","Hyundai",2013,345000,44000,"Petrol","Dealer","Manual","First Owner"
"309","Maruti",2015,500000,10000,"Petrol","Individual","Manual","First Owner"
"310","Tata",2019,425000,19600,"Petrol","Individual","Manual","First Owner"
"311","Maruti",2005,80000,40000,"Petrol","Individual","Manual","Second Owner"
"312","Chevrolet",2011,106000,50000,"Diesel","Individual","Manual","First Owner"
"313","Maruti",2009,180000,46730,"Petrol","Individual","Manual","First Owner"
"314","Datsun",2015,250000,40000,"Petrol","Individual","Manual","Second Owner"
"315","Skoda",2011,350000,80000,"Diesel","Individual","Manual","First Owner"
"316","Maruti",2002,60000,80000,"Petrol","Individual","Manual","Second Owner"
"317","Hyundai",2018,900000,24000,"Diesel","Individual","Manual","First Owner"
"318",NA,2017,700000,21170,"Diesel","Dealer","Manual","First Owner"
"319","BMW",2013,2000000,167223,"Diesel","Dealer","Automatic","First Owner"
"320","Maruti",2017,1000000,40000,"Diesel","Individual","Manual","First Owner"
"321","BMW",2011,1375000,60000,"Diesel","Individual","Automatic","First Owner"
"322","Toyota",2016,1800000,141440,"Diesel","Dealer","Manual","First Owner"
"323","Chevrolet",2007,160000,120000,"Diesel","Individual","Manual","Third Owner"
"324","Mitsubishi",2012,525000,140000,"Petrol","Individual","Automatic","First Owner"
"325","Mahindra",2012,850000,212814,"Diesel","Dealer","Manual","First Owner"
"326","Maruti",2019,800000,30000,"Diesel","Individual","Manual","First Owner"
"327","Ford",2017,700000,88635,"Diesel","Dealer","Manual","First Owner"
"328","Maruti",2018,800000,25000,"Diesel","Individual","Manual","First Owner"
"329","Hyundai",2017,575000,20000,"Petrol","Individual","Manual","Second Owner"
"330","Renault",2012,350000,110000,"Diesel","Individual","Manual","Second Owner"
"331","Maruti",2008,250000,120000,"Diesel","Individual","Manual","Third Owner"
"332","Ford",2011,600000,149674,"Diesel","Dealer","Manual",NA
"333","Mahindra",2007,370000,NA,"Diesel","Individual","Manual","Third Owner"
"334","Maruti",2006,80000,120000,"Petrol","Individual","Manual","Third Owner"
"335","Tata",2003,50000,120000,"Diesel","Individual","Manual","Second Owner"
"336","Hyundai",2018,900000,25000,"Diesel","Individual","Manual","First Owner"
"337","Maruti",2014,300000,35000,"Petrol","Individual","Manual","Second Owner"
"338","Tata",2002,125000,40000,"Petrol","Individual","Manual","First Owner"
"339","Maruti",2015,490000,60000,"Diesel","Individual","Manual","Second Owner"
"340","Toyota",2012,NA,50000,"Diesel",NA,"Manual","Second Owner"
"341","Tata",2013,55000,25000,"Petrol","Individual","Manual","Fourth & Above Owner"
"342","Hyundai",NA,350000,25000,"Petrol","Individual","Manual","First Owner"
"343","Hyundai",2019,755000,8000,"Diesel","Individual","Manual","First Owner"
"344","Maruti",2017,720000,60000,"Diesel","Individual","Manual","First Owner"
"345","Mahindra",2006,229999,200000,"Diesel","Individual","Manual","Third Owner"
"346","Mahindra",2018,1100000,20000,"Diesel","Individual","Manual","First Owner"
"347","Volkswagen",2013,400000,100000,"Petrol","Individual","Manual","First Owner"
"348","Hyundai",2015,350000,70000,"Diesel","Individual","Manual","Second Owner"
"349","Chevrolet",2012,159000,68000,"Diesel","Dealer","Manual","First Owner"
"350","Maruti",2017,550000,38000,"Petrol","Dealer","Manual","First Owner"
"351","Maruti",2013,335000,80000,NA,"Dealer","Manual","First Owner"
"352","Tata",2014,185000,72000,"CNG","Dealer","Manual","First Owner"
"353","Maruti",2012,229999,75000,"CNG","Dealer","Manual","First Owner"
"354","Maruti",2014,225000,43000,"Petrol","Dealer","Manual","First Owner"
"355","Maruti",NA,250000,120000,"Petrol","Individual","Manual","Second Owner"
"356","Tata",2015,400000,NA,"Diesel","Individual","Manual","First Owner"
"357","Maruti",2014,470000,163000,"Diesel","Individual","Manual","First Owner"
"358","Maruti",2018,300000,25000,"Petrol","Individual","Automatic","First Owner"
"359","Maruti",2011,145000,25000,"Petrol","Individual","Manual","First Owner"
"360","Maruti",2007,100000,90000,"Petrol","Individual","Manual","Second Owner"
"361","Mahindra",2014,500000,70000,"Diesel","Individual","Manual","Second Owner"
"362","Hyundai",2010,130000,98000,"CNG","Individual","Manual","Second Owner"
"363","Chevrolet",2010,240000,81925,"Diesel","Individual","Manual","First Owner"
"364","Ford",2013,150000,80000,"Diesel","Individual","Manual","Second Owner"
"365","Renault",2017,270000,40000,"Petrol","Individual","Manual","First Owner"
